identifier,description,construction_identifier,adjacent_A,adjacent_B,window_identifier,area,vertices
B0001,EP Surface Names:01_Floor,C0004,ADB,Z0001,,25,"(0,0,0),(0,5,0),(5,5,0),(5,0,0)"
B0002,EP Surface Names:01_Ceiling,C0003,AMB,Z0001,,25,"(0,0,3),(0,5,3),(5,5,3),(5,0,3)"
B0003,EP Surface Names:01_WallNorth,C0001,AMB,Z0001,,15,"(0,5,0),(5,5,0),(5,5,3),(0,5,3)"
B0004,EP Surface Names:01_WallSouth,C0001,AMB,Z0001,,15,"(0,0,0),(5,0,0),(5,0,3),(0,0,3)"
B0005,EP Surface Names:01_WallWest,C0001,AMB,Z0001,,15,"(0,0,0),(0,5,0),(0,5,3),(0,0,3)"
B0006,EP Surface Names:01_WallEast,C0002,Z0002,Z0001,,15,"(5,0,0),(5,5,0),(5,5,3),(5,0,3)"
B0007,EP Surface Names:01_Floor,C0004,ADB,Z0002,,25,"(5,0,0),(5,5,0),(10,5,0),(10,0,0)"
B0008,EP Surface Names:01_Ceiling,C0003,AMB,Z0002,,25,"(5,0,3),(5,5,3),(10,5,3),(10,0,3)"
B0009,EP Surface Names:01_WallNorth,C0001,AMB,Z0002,,15,"(5,5,0),(10,5,0),(10,5,3),(5,5,3)"
B0010,EP Surface Names:01_WallSouth,C0001,AMB,Z0002,,15,"(5,0,0),(10,0,0),(10,0,3),(5,0,3)"
B0011,EP Surface Names:01_WallWest,C0002,Z0001,Z0002,,15,"(5,0,0),(5,5,0),(5,5,3),(5,0,3)"
B0012,EP Surface Names:01_WallEast,C0002,Z0003,Z0002,,15,"(10,0,0),(10,5,0),(10,5,3),(10,0,3)"
B0013,EP Surface Names:01_Floor,C0004,ADB,Z0003,,25,"(10,0,0),(10,5,0),(15,5,0),(15,0,0)"
B0014,EP Surface Names:01_Ceiling,C0003,AMB,Z0003,,25,"(10,0,3),(10,5,3),(15,5,3),(15,0,3)"
B0015,EP Surface Names:01_WallNorth,C0001,AMB,Z0003,,15,"(10,5,0),(15,5,0),(15,5,3),(10,5,3)"
B0016,EP Surface Names:01_WallSouth,C0001,AMB,Z0003,,15,"(10,0,0),(15,0,0),(15,0,3),(10,0,3)"
B0017,EP Surface Names:01_WallWest,C0002,Z0002,Z0003,,15,"(10,0,0),(10,5,0),(10,5,3),(10,0,3)"
B0018,EP Surface Names:01_WallEast,C0002,Z0004,Z0003,,15,"(15,0,0),(15,5,0),(15,5,3),(15,0,3)"
B0019,EP Surface Names:01_Floor,C0004,ADB,Z0004,,25,"(15,0,0),(15,5,0),(20,5,0),(20,0,0)"
B0020,EP Surface Names:01_Ceiling,C0003,AMB,Z0004,,25,"(15,0,3),(15,5,3),(20,5,3),(20,0,3)"
B0021,EP Surface Names:01_WallNorth,C0001,AMB,Z0004,,15,"(15,5,0),(20,5,0),(20,5,3),(15,5,3)"
B0022,EP Surface Names:01_WallSouth,C0001,AMB,Z0004,,15,"(15,0,0),(20,0,0),(20,0,3),(15,0,3)"
B0023,EP Surface Names:01_WallWest,C0002,Z0003,Z0004,,15,"(15,0,0),(15,5,0),(15,5,3),(15,0,3)"
B0024,EP Surface Names:01_WallEast,C0002,Z0005,Z0004,,15,"(20,0,0),(20,5,0),(20,5,3),(20,0,3)"
B0025,EP Surface Names:01_Floor,C0004,ADB,Z0005,,25,"(20,0,0),(20,5,0),(25,5,0),(25,0,0)"
B0026,EP Surface Names:01_Ceiling,C0003,AMB,Z0005,,25,"(20,0,3),(20,5,3),(25,5,3),(25,0,3)"
B0027,EP Surface Names:01_WallNorth,C0001,AMB,Z0005,,15,"(20,5,0),(25,5,0),(25,5,3),(20,5,3)"
B0028,EP Surface Names:01_WallSouth,C0001,AMB,Z0005,,15,"(20,0,0),(25,0,0),(25,0,3),(20,0,3)"
B0029,EP Surface Names:01_WallWest,C0002,Z0004,Z0005,,15,"(20,0,0),(20,5,0),(20,5,3),(20,0,3)"
B0030,EP Surface Names:01_WallEast,C0001,AMB,Z0005,,15,"(25,0,0),(25,5,0),(25,5,3),(25,0,3)"
