identifier;description;area;volume;group;
Z0001;Zone01_Office_NW;17.78832618;53.36497853;ZoneGrp_Corner;
Z0002;Zone02a_Office_N;11.13053442;33.39160327;ZoneGrp_North;
Z0003;Zone11_Hall_W;64.03490637;192.1047191;ZoneGrp_West;
Z0004;Zone10_Hall_E;82.73153096;248.1945929;ZoneGrp_East;
Z0005;Zone12_Core_Facilities;121.9803645;365.9410936;ZoneGrp_Other;
Z0006;Zone13_Core_Meeting;23.53688633;70.610659;ZoneGrp_Other;
Z0007;Zone14_Staircase;44.5385045;133.6155135;ZoneGrp_Other;
Z0008;Zone08a_Office_W;42.2304115;126.6912345;ZoneGrp_West;
Z0009;Zone09a_Lounge;33.72295495;101.1688649;ZoneGrp_Corner;
Z0010;Zone03_Office_NE;17.7464379;53.2393137;ZoneGrp_Corner;
Z0011;Zone04a_Office_E;67.44445708;202.3333713;ZoneGrp_East;
Z0012;Zone05_Office_SE;17.50834375;52.52503125;ZoneGrp_Corner;
Z0013;Zone06_Office_S;21.75127061;65.25381182;ZoneGrp_South;
Z0014;Zone07_Office_SW;43.98854186;131.9656256;ZoneGrp_Corner;
Z0015;Zone04b_Office_E;22.48148569;67.44445708;ZoneGrp_East;
Z0016;Zone08b_Office_W;14.07680383;42.2304115;ZoneGrp_West;
Z0017;Zone09b_Lounge;10.20640527;30.61921581;ZoneGrp_Corner;
Z0018;Zone02b_Office_N;33.32393063;99.97179189;ZoneGrp_North;
Z0019;Zone02c_Office_N;8.474384164;25.42315249;ZoneGrp_North;
Z0020;Zone02d_Office_N;25.57936348;76.73809044;ZoneGrp_North;
