identifier;description;glass_area;frame_area;U_value;SHGC;
W0001;EP Surface:196416/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0002;EP Surface:25326D/EP Construction:WindowGlazing_Office;3.76;1.763775;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0003;EP Surface:4C83B2/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0004;EP Surface:5048C9/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0005;EP Surface:537DEC/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0006;EP Surface:5419D0/EP Construction:WindowGlazing_Office;3.76;1.763775;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0007;EP Surface:6DDF13/EP Construction:WindowGlazing_Office;14.16;6.83235;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0008;EP Surface:8093EB/EP Construction:WindowGlazing_Office;8.32;3.73005;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0009;EP Surface:872C60/EP Construction:WindowGlazing_Office;4.64;1.986525;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0010;EP Surface:9F1C62/EP Construction:WindowGlazing_Office;11.28;5.291325;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0011;EP Surface:A022A6/EP Construction:WindowGlazing_Office;2.96;1.561275;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0012;EP Surface:A2B4FA/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0013;EP Surface:A48019/EP Construction:WindowGlazing_Office;22.56;10.58265;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0014;EP Surface:C11EEE/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0015;EP Surface:CE4A96/EP Construction:WindowGlazing_Office;3.76;1.763775;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0016;EP Surface:D84594/EP Construction:WindowGlazing_Office;3.76;1.763775;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0017;EP Surface:EC2929/EP Construction:WindowGlazing_Office;3.76;1.763775;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0018;EP Surface:F5057A/EP Construction:WindowGlazing_Office;11.28;5.291325;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0019;EP Surface:F7BD3A/EP Construction:WindowGlazing_Office;7.52;3.52755;UValue_Window_EPConstr_WindowGlazing_Office;GValue_Window_EPConstr_WindowGlazing_Office;
W0020;EP Surface:F9A3BC/EP Construction:WindowGlazing_Lobby;22.404;3.2304;UValue_Window_EPConstr_WindowGlazing_Lobby;GValue_Window_EPConstr_WindowGlazing_Lobby;
