   identifier,   description                  ,construction_identifier,adjacent_A,adjacent_B,window_identifier,area,v_x,v_y,v_z,v_x,v_y,v_z,v_x,v_y,v_z,v_x,v_y,v_z
        B0001,  EP Surface Names:Z01_Wall_N   ,C0001,AMB,Z0001,,60,0,10,0,15,10,0,15,10,4,0,10,4
        B0002,  EP Surface Names:Z01_Wall_W   ,C0001,AMB,Z0001,,20,0,10,0,0,5,0,0,5,4,0,10,4
        B0003,  EP Surface Names:Z01_02_Wall  ,C0003,Z0001,Z0002,,40,5,5,0,15,5,0,15,5,4,5,5,4
        B0004,  EP Surface Names:Z01_03_Wall  ,C0003,Z0001,Z0003,,20,0,5,0,5,5,0,5,5,4,0,5,4
        B0005,  EP Surface Names:Z01_Wall_E   ,C0001,AMB,Z0001,,20,15,10,0,15,5,0,15,5,4,15,10,4
        B0006,  EP Surface Names:Z02_03_Wall  ,C0003,Z0002,Z0003,,20,5,5,0,5,0,0,5,0,4,5,5,4
        B0007,  EP Surface Names:Z02_Wall_S   ,C0001,AMB,Z0002,,40,5,0,0,15,0,0,15,0,4,5,0,4
        B0008,  EP Surface Names:Z02_Wall_E   ,C0001,AMB,Z0002,,20,15,5,0,15,0,0,15,0,4,15,5,4
        B0009,  EP Surface Names:Z03_Wall_W   ,C0001,AMB,Z0003,,20,0,5,0,0,0,0,0,0,4,0,5,4
        B0010,  EP Surface Names:Z03_Wall_S   ,C0001,AMB,Z0003,,20,0,0,0,5,0,0,5,0,4,0,0,4
        B0011,  EP Surface Names:Z01_04_CeilFloor,C0004,Z0001,Z0004,,37.5,0,5,4,7.5,5,4,7.5,10,4,0,10,4
        B0012,  EP Surface Names:Z01_05_CeilFloor,C0004,Z0001,Z0005,,37.5,7.5,5,4,15,5,4,15,10,4,7.5,10,4
        B0013,  EP Surface Names:Z02_06_CeilFloor,C0004,Z0002,Z0006,,25,10,0,4,15,0,4,15,5,4,10,5,4
        B0014,  EP Surface Names:Z02_07_CeilFloor,C0004,Z0002,Z0007,,25,5,0,4,10,0,4,10,5,4,5,5,4
        B0015,  EP Surface Names:Z03_07_CeilFloor,C0004,Z0003,Z0007,,25,0,0,4,5,0,4,5,5,4,0,5,4
        B0016,  EP Surface Names:Z04_Wall_N,C0001,AMB,Z0004,,22.5,0,10,4,7.5,10,4,7.5,10,7,0,10,7
        B0017,  EP Surface Names:Z04_05_Wall,C0003,Z0004,Z0005,,15,7.5,10,4,7.5,5,4,7.5,5,7,7.5,10,7
        B0018,  EP Surface Names:Z04_07_Wall,C0003,Z0004,Z0007,,22.5,0,5,4,7.5,5,4,7.5,5,7,0,5,7
        B0019,  EP Surface Names:Z04_Wall_W,C0001,AMB,Z0004,,15,0,10,4,0,5,4,0,5,7,0,10,7
        B0020,  EP Surface Names:Z05_Wall_N,C0001,AMB,Z0005,,22.5,7.5,10,4,15,10,4,15,10,7,7.5,10,7
        B0021,  EP Surface Names:Z05_Wall_E,C0001,AMB,Z0005,,15,15,10,4,15,5,4,15,5,7,15,10,7
        B0022,  EP Surface Names:Z05_06_Wall,C0003,Z0005,Z0006,,15,10,5,4,15,5,4,15,5,7,10,5,7
        B0023,  EP Surface Names:Z05_07_Wall,C0003,Z0005,Z0007,,7.5,7.5,5,4,10,5,4,10,5,7,7.5,5,7
        B0024,  EP Surface Names:Z06_Wall_E,C0001,AMB,Z0006,,15,15,5,4,15,0,4,15,0,7,15,5,7
        B0025,  EP Surface Names:Z06_Wall_S,C0001,AMB,Z0006,,15,10,0,4,15,0,4,15,0,7,10,0,7
        B0026,  EP Surface Names:Z06_07_Wall,C0003,Z0006,Z0007,,15,10,5,4,10,0,4,10,0,7,10,5,7
        B0027,  EP Surface Names:Z07_Wall_S,C0001,AMB,Z0007,,30,0,0,4,10,0,4,10,0,7,0,0,7
        B0028,  EP Surface Names:Z07_Wall_W,C0001,AMB,Z0007,,15,0,5,4,0,0,4,0,0,7,0,5,7
        B0029,  EP Surface Names:Z04_Roof,C0002,AMB,Z0004,,37.5,0,5,7,7.5,5,7,7.5,10,7,0,10,7
        B0030,EP Surface Names:Z05_Roof,C0002,AMB,Z0005,,37.5,7.5,5,7,15,5,7,15,10,7,7.5,10,7
        B0031,EP Surface Names:Z06_Roof,C0002,AMB,Z0006,,25,10,0,7,15,0,7,15,5,7,10,5,7
        B0032,EP Surface Names:Z07_Roof,C0002,AMB,Z0007,,50,0,0,7,10,0,7,10,5,7,0,5,7
        B0033,EP Surface Names:Z01_Floor,C0005,ADB,Z0001,,75,0,5,0,15,5,0,15,10,0,0,10,0
        B0034,EP Surface Names:Z02_Floor,C0005,ADB,Z0002,,50,5,0,0,15,0,0,15,5,0,5,5,0
        B0035,EP Surface Names:Z03_Floor,C0005,ADB,Z0003,,25,0,0,0,5,0,0,5,5,0,0,5,0
