  identifier,   description                    ,  specific_heat_capacity,  specific_thermal_resistance,  density ,  R_value
       M0001,  interior_panel_plasterboard     ,  1000                  ,   4.761904762                ,   700   ,
       M0002,  external_plaster                ,  1000                  ,   1.149425287                ,  1600   ,
       M0003,  internal_plaster                ,  1000                  ,   1.428571429                ,  1400   ,
       M0004,  CarpetTextileFlooring           ,  1300                  ,  16.66666667                 ,   200   ,
       M0005,  WoodenFlooring                  ,  1200                  ,   7.142857143                ,   650   ,
       M0006,  concrete_reinforced_beam        ,  1080                  ,   0.434782609                ,  2400   ,
       M0007,  concrete_reinforced_core        ,  1080                  ,   0.434782609                ,  2400   ,
       M0008,  rockwool                        ,   612                  ,  27.77777778                 ,    90   ,
       M0009,  floor_covering_linoleum         ,  1400                  ,   5.882352941                ,  1200   ,
       M0010,  floor_pavement                  ,  1080                  ,   0.666666667                ,  2200   ,
       M0011,  concrete_reinforced_tabs        ,  1080                  ,   0.434782609                ,  2400   ,
       M0012,  gypsum                          ,   900                  ,   1.923076923                ,  1400   ,
       M0013,  concrete_reinforced             ,  1080                  ,   0.434782609                ,  2400   ,
       M0014,  mineral_insulation_StoTherm     ,   830                  ,  27.77777778                 ,    90   ,
       M0015,  concrete                        ,  1000                  ,   0.555555556                ,  2000   ,
       M0016,  concrete_reinforced_tabs_32cm   ,  1080                  ,   0.434782609                ,  2400   ,
       M0017,  concrete_reinforced_tabs_8cm    ,  1080                  ,   0.434782609                ,  2400   ,
       M0018,  suspended_ceiling               ,                        ,                              ,         , 0.3
       M0019,  external_wall_singleMaterial    ,  1200                  ,   3.0                        ,  1600   ,
       M0020,  internal_wall_singleMaterial    ,  1000                  ,   2.0                        ,  1200   ,
       M0021,  external_floor_singleMaterial   ,  1200                  ,   7.0                        ,  2000   ,
       M0022,  internal_floor_singleMaterial   ,  1000                  ,   3.5                        ,  1500   ,
       M0023,  external_ceiling_singleMaterial ,  1200                  ,   6.0                        ,  1600   ,
