identifier;description;construction_identifier;adjacent_A;adjacent_B;window_identifier;area;vertices;
B0001;EP Surface Names:01_Floor;C0002;ADB;Z0001;NaN;17.78832618;(158.4505075,4.412481841,6.41),(159.771932,4.412481841,6.41),(159.771932,0.1901507441,6.41),(154.234396,0.1901507441,6.41),(154.234396,3.085907781,6.41),(158.4505075,3.085907781,6.41);
B0002;EP Surface Names:237AF0,241200;C0004;Z0003;Z0001;NaN;4.492843139;(159.771932,4.412481841,9.81),(159.771932,4.412481841,6.41),(158.4505075,4.412481841,6.41),(158.4505075,4.412481841,9.81);
B0003;EP Surface Names:AF174C,FB164A;C0004;Z0020;Z0001;NaN;4.510351803;(158.4505075,4.412481841,9.81),(158.4505075,4.412481841,6.41),(158.4505075,3.085907781,6.41),(158.4505075,3.085907781,9.81);
B0004;EP Surface Names:8F8785,D842BC;C0004;Z0020;Z0001;NaN;14.33477918;(158.4505075,3.085907781,9.81),(158.4505075,3.085907781,6.41),(154.234396,3.085907781,6.41),(154.234396,3.085907781,9.81);
B0005;EP Surface Names:4C83B2;C0001;AMB;Z0001;W0003;18.82762232;(154.234396,0.1901507441,9.81),(154.234396,0.1901507441,6.41),(159.771932,0.1901507441,6.41),(159.771932,0.1901507441,9.81);
B0006;EP Surface Names:01_Ceiling;C0009;ADB;Z0001;NaN;17.78832618;(154.234396,3.085907781,9.81),(154.234396,0.1901507441,9.81),(159.771932,0.1901507441,9.81),(159.771932,4.412481841,9.81),(158.4505075,4.412481841,9.81),(158.4505075,3.085907781,9.81);
B0007;EP Surface Names:B6D904,DFE229;C0004;Z0016;Z0001;NaN;14.35592573;(159.771932,0.1901507441,9.81),(159.771932,0.1901507441,6.41),(159.771932,4.412481841,6.41),(159.771932,4.412481841,9.81);
B0008;EP Surface Names:CE4A96;C0001;AMB;Z0001;W0015;9.845573927;(154.234396,3.085907781,9.81),(154.234396,3.085907781,6.41),(154.234396,0.1901507441,6.41),(154.234396,0.1901507441,9.81);
B0009;EP Surface Names:02a_Floor;C0002;ADB;Z0002;NaN;11.13053442;(158.4505075,21.70690778,6.41),(158.4505075,19.06690778,6.41),(154.234396,19.06690778,6.41),(154.234396,21.70690778,6.41);
B0010;EP Surface Names:5419D0;C0001;AMB;Z0002;W0006;8.976;(154.234396,21.70690778,9.81),(154.234396,21.70690778,6.41),(154.234396,19.06690778,6.41),(154.234396,19.06690778,9.81);
B0011;EP Surface Names:B88DBE,4C10E4;C0004;Z0010;Z0002;NaN;14.33477918;(158.4505075,21.70690778,9.81),(158.4505075,21.70690778,6.41),(154.234396,21.70690778,6.41),(154.234396,21.70690778,9.81);
B0012;EP Surface Names:827B31,F65476;C0004;Z0010;Z0002;NaN;4.522;(158.4505075,20.37690778,9.81),(158.4505075,20.37690778,6.41),(158.4505075,21.70690778,6.41),(158.4505075,21.70690778,9.81);
