   identifier,   description,   construction_identifier,   adjacent_A,   adjacent_B,   window_identifier,  area,   v_x,v_y,v_z,v_x,v_y,v_z,v_x,v_y,v_z,v_x,v_y,v_z
        B0001,  EP Surface Names:Z01_Wall_E        ,C0001   ,AMB     ,Z0021   ,W0001   ,19.14   , 0.00, 0.00, 0.00     , 6.38, 0.00, 0.00     , 6.38, 0.00, 3.00     , 0.00, 0.00, 3.00
        B0002,  EP Surface Names:Z01_Z02_Wall      ,C0002   ,Z0021   ,Z0020   ,NaN     ,15.00   , 6.38, 0.00, 0.00     , 6.38, 5.00, 0.00     , 6.38, 5.00, 3.00     , 6.38, 0.00, 3.00
        B0003,  EP Surface Names:Z01_Wall_W        ,C0003   ,ADB     ,Z0021   ,NaN     ,19.14   , 6.38, 5.00, 0.00     , 0.00, 5.00, 0.00     , 0.00, 5.00, 3.00     , 6.38, 5.00, 3.00
        B0004,  EP Surface Names:Z01_Wall_S        ,C0004   ,ADB     ,Z0021   ,NaN     ,15.00   , 0.00, 5.00, 0.00     , 0.00, 0.00, 0.00     , 0.00, 0.00, 3.00     , 0.00, 5.00, 3.00
        B0005,  EP Surface Names:Z02_Wall_E        ,C0001   ,AMB     ,Z0020   ,W0002   ,19.14   , 6.38, 0.00, 0.00     ,12.76, 0.00, 0.00     ,12.76, 0.00, 3.00     , 6.38, 0.00, 3.00
        B0006,  EP Surface Names:Z02_03_Wall       ,C0002   ,Z0020   ,Z0019   ,NaN     ,15.00   ,12.76, 0.00, 0.00     ,12.76, 5.00, 0.00     ,12.76, 5.00, 3.00     ,12.76, 0.00, 3.00
        B0007,  EP Surface Names:Z02_Wall_W        ,C0003   ,ADB     ,Z0020   ,NaN     ,19.14   ,12.76, 5.00, 0.00     , 6.38, 5.00, 0.00     , 6.38, 5.00, 3.00     ,12.76, 5.00, 3.00
        B0008,  EP Surface Names:Z03_Wall_E        ,C0001   ,AMB     ,Z0019   ,W0003   ,19.14   ,12.76, 0.00, 0.00     ,19.14, 0.00, 0.00     ,19.14, 0.00, 3.00     ,12.76, 0.00, 3.00
        B0009,  EP Surface Names:Z03_Wall_N        ,C0005   ,ADB     ,Z0019   ,NaN     ,15.00   ,19.14, 0.00, 0.00     ,19.14, 5.00, 0.00     ,19.14, 5.00, 3.00     ,19.14, 0.00, 3.00
        B0010,  EP Surface Names:Z03_Wall_W        ,C0003   ,ADB     ,Z0019   ,NaN     ,19.14   ,19.14, 5.00, 0.00     ,12.76, 5.00, 0.00     ,12.76, 5.00, 3.00     ,19.14, 5.00, 3.00
        B0011,  EP Surface Names:Z01_Floor         ,C0006   ,ADB     ,Z0021   ,NaN     ,31.90   , 0.00, 0.00, 0.00     , 6.38, 0.00, 0.00     , 6.38, 5.00, 0.00     , 0.00, 5.00, 0.00
        B0012,  EP Surface Names:Z02_Floor         ,C0006   ,ADB     ,Z0020   ,NaN     ,31.90   , 6.38, 0.00, 0.00     ,12.76, 0.00, 0.00     ,12.76, 5.00, 0.00     , 6.38, 5.00, 0.00
        B0013,  EP Surface Names:Z03_Floor         ,C0006   ,ADB     ,Z0019   ,NaN     ,31.90   ,12.76, 0.00, 0.00     ,19.14, 0.00, 0.00     ,19.14, 5.00, 0.00     ,12.76, 5.00, 0.00
        B0014,  EP Surface Names:Z01_Ceil          ,C0007   ,ADB     ,Z0021   ,NaN     ,31.90   , 0.00, 0.00, 3.00     , 6.38, 0.00, 3.00     , 6.38, 5.00, 3.00     , 0.00, 5.00, 3.00
        B0015,  EP Surface Names:Z02_Ceil          ,C0007   ,ADB     ,Z0020   ,NaN     ,31.90   , 6.38, 0.00, 3.00     ,12.76, 0.00, 3.00     ,12.76, 5.00, 3.00     , 6.38, 5.00, 3.00
        B0016,  EP Surface Names:Z03_Ceil          ,C0007   ,ADB     ,Z0019   ,NaN     ,31.90   ,12.76, 0.00, 3.00     ,19.14, 0.00, 3.00     ,19.14, 5.00, 3.00     ,12.76, 5.00, 3.00
